id,date,bedrooms,sqft_lot,cat_imovel
7129300520,20141013T000000,3.0,5650,Baixo Padrao
6414100192,20141209T000000,3.0,7242,Baixo Padrao
5631500400,20150225T000000,2.0,10000,Baixo Padrao
2487200875,20141209T000000,4.0,5000,Alto Padrao
1954400510,20150218T000000,3.0,8080,Baixo Padrao
7237550310,20140512T000000,4.0,101930,Alto Padrao
1321400060,20140627T000000,3.0,6819,Baixo Padrao
2008000270,20150115T000000,3.0,9711,Baixo Padrao
2414600126,20150415T000000,3.0,7470,Baixo Padrao
3793500160,20150312T000000,3.0,6560,Baixo Padrao
1736800520,20150403T000000,3.0,9796,Alto Padrao
9212900260,20140527T000000,2.0,6000,Baixo Padrao
114101516,20140528T000000,3.0,19901,Baixo Padrao
6054650070,20141007T000000,3.0,9680,Baixo Padrao
1175000570,20150312T000000,5.0,4850,Baixo Padrao
9297300055,20150124T000000,4.0,5000,Alto Padrao
1875500060,20140731T000000,3.0,14040,Baixo Padrao
6865200140,20140529T000000,4.0,4300,Baixo Padrao
16000397,20141205T000000,2.0,9850,Baixo Padrao
7983200060,20150424T000000,3.0,9774,Baixo Padrao
6300500875,20140514T000000,4.0,4980,Baixo Padrao
2524049179,20140826T000000,3.0,44867,Alto Padrao
7137970340,20140703T000000,5.0,6300,Baixo Padrao
8091400200,20140516T000000,2.0,9643,Baixo Padrao
3814700200,20141120T000000,3.0,6500,Baixo Padrao
1202000200,20141103T000000,3.0,4697,Baixo Padrao
1794500383,20140626T000000,3.0,2691,Alto Padrao
3303700376,20141201T000000,3.0,1581,Alto Padrao
5101402488,20140624T000000,3.0,6380,Baixo Padrao
1873100390,20150302T000000,4.0,7173,Alto Padrao
8562750320,20141110T000000,3.0,3980,Alto Padrao
2426039314,20141201T000000,2.0,1265,Baixo Padrao
461000390,20140624T000000,4.0,5000,Alto Padrao
7589200193,20141110T000000,3.0,3000,Baixo Padrao
7955080270,20141203T000000,4.0,6659,Baixo Padrao
9547205180,20140613T000000,3.0,3060,Alto Padrao
9435300030,20140528T000000,4.0,34848,Alto Padrao
2768000400,20141230T000000,4.0,6000,Alto Padrao
7895500070,20150213T000000,4.0,8075,Baixo Padrao
2078500320,20140620T000000,4.0,7553,Alto Padrao
5547700270,20140715T000000,4.0,5520,Alto Padrao
7766200013,20140811T000000,4.0,24186,Alto Padrao
7203220400,20140707T000000,5.0,5639,Alto Padrao
9270200160,20141028T000000,3.0,2280,Alto Padrao
1432701230,20140729T000000,3.0,9656,Baixo Padrao
8035350320,20140718T000000,3.0,13603,Baixo Padrao
8945200830,20150325T000000,,8528,Baixo Padrao
4178300310,20140716T000000,4.0,13416,Alto Padrao
9215400105,20150428T000000,3.0,5963,Baixo Padrao
822039084,20150311T000000,3.0,65005,Alto Padrao
5245600105,20140916T000000,3.0,9199,Baixo Padrao
7231300125,20150217T000000,5.0,9134,Baixo Padrao
7518505990,20141231T000000,3.0,4080,Alto Padrao
3626039271,20150205T000000,2.0,8550,Alto Padrao
4217401195,20150303T000000,5.0,6000,Alto Padrao
9822700295,20140512T000000,4.0,5000,Alto Padrao
9478500640,20140819T000000,4.0,4495,Baixo Padrao
2799800710,20150407T000000,,4750,Baixo Padrao
7922800400,20140827T000000,5.0,14342,Alto Padrao
8079040320,20150223T000000,4.0,9976,Baixo Padrao
1516000055,20141210T000000,3.0,21235,Alto Padrao
9558200045,20140828T000000,3.0,8400,Baixo Padrao
5072410070,20141021T000000,3.0,8690,Baixo Padrao
9528102996,20141207T000000,3.0,1044,Alto Padrao
1189001180,20140603T000000,3.0,6000,Baixo Padrao
3253500160,20141120T000000,3.0,3809,Baixo Padrao
3394100030,20140909T000000,4.0,11049,Alto Padrao
3717000160,20141009T000000,,4648,Baixo Padrao
1274500060,20140825T000000,3.0,12070,Baixo Padrao
1802000060,20140612T000000,5.0,20158,Alto Padrao
1525059190,20140912T000000,5.0,50094,Alto Padrao
1049000060,20150105T000000,3.0,5612,Baixo Padrao
8820901275,20140610T000000,4.0,7807,Alto Padrao
5416510140,20140710T000000,4.0,5000,Baixo Padrao
3444100400,20150316T000000,3.0,50529,Baixo Padrao
3276920270,20141105T000000,4.0,35102,Alto Padrao
4036801170,20141013T000000,4.0,7300,Baixo Padrao
2391600320,20150420T000000,3.0,5060,Baixo Padrao
6300000287,20140609T000000,3.0,5060,Baixo Padrao
1531000030,20150323T000000,4.0,39683,Alto Padrao
5104520400,20141202T000000,3.0,5100,Baixo Padrao
7437100340,20141222T000000,4.0,5889,Baixo Padrao
9418400240,20141028T000000,2.0,6720,Baixo Padrao
1523059105,20150128T000000,3.0,8712,Baixo Padrao
1133000671,20140602T000000,3.0,6634,Baixo Padrao
4232902595,20141114T000000,3.0,3600,Alto Padrao
2599001200,20141103T000000,5.0,8400,Baixo Padrao
3342103156,20140618T000000,3.0,6278,Baixo Padrao
1332700270,20140519T000000,,2040,Baixo Padrao
3869900162,20140904T000000,2.0,1066,Baixo Padrao
2791500270,20140522T000000,4.0,7403,Baixo Padrao
5036300431,20150311T000000,5.0,6353,Alto Padrao
4168000060,20150226T000000,3.0,10500,Baixo Padrao
6021501535,20140725T000000,3.0,5000,Baixo Padrao
6021501535,20141223T000000,3.0,5000,Alto Padrao
1483300570,20140908T000000,4.0,10250,Alto Padrao
3422049190,20150330T000000,3.0,15681,Baixo Padrao
1099611230,20140912T000000,4.0,6400,Baixo Padrao
722079104,20140711T000000,3.0,41800,Baixo Padrao
7338200240,20140516T000000,3.0,36847,Baixo Padrao
1952200240,20140611T000000,3.0,13241,Alto Padrao
5200100125,20141027T000000,3.0,3478,Alto Padrao
7214720075,20141212T000000,3.0,107593,Alto Padrao
2450000295,20141007T000000,3.0,8113,Alto Padrao
6197800045,20140924T000000,3.0,33919,Baixo Padrao
1328310370,20150402T000000,3.0,10005,Baixo Padrao
546000875,20140523T000000,3.0,4005,Baixo Padrao
3530510041,20140723T000000,2.0,2493,Baixo Padrao
1853000400,20150305T000000,4.0,28037,Alto Padrao
3134100116,20140827T000000,5.0,12342,Baixo Padrao
9545230140,20140725T000000,4.0,9624,Alto Padrao
3362400511,20150304T000000,3.0,3328,Alto Padrao
2525310310,20140916T000000,3.0,12600,Baixo Padrao
6126500060,20141124T000000,3.0,5969,Baixo Padrao
8961960160,20141028T000000,4.0,16171,Baixo Padrao
3626039325,20141121T000000,3.0,6350,Alto Padrao
3362400431,20140626T000000,3.0,1102,Baixo Padrao
4060000240,20140623T000000,2.0,6780,Baixo Padrao
3454800060,20150108T000000,4.0,9600,Baixo Padrao
1695900060,20150511T000000,4.0,2982,Baixo Padrao
7278700070,20150102T000000,3.0,6474,Alto Padrao
6675500070,20141119T000000,3.0,9132,Baixo Padrao
3626039187,20150406T000000,2.0,6000,Baixo Padrao
3524049083,20141104T000000,4.0,4400,Baixo Padrao
3275860240,20140618T000000,3.0,10204,Alto Padrao
4389200955,20150302T000000,4.0,17789,Alto Padrao
4058801670,20140717T000000,3.0,8201,Baixo Padrao
8732020310,20140717T000000,4.0,8811,Baixo Padrao
2331300505,20140613T000000,5.0,4960,Alto Padrao
7853210060,20150406T000000,4.0,4310,Baixo Padrao
3668000070,20150105T000000,3.0,7875,Baixo Padrao
9545240070,20150428T000000,4.0,9603,Alto Padrao
1243100136,20140612T000000,3.0,111078,Alto Padrao
8929000270,20140512T000000,3.0,2287,Baixo Padrao
2767602356,20150126T000000,4.0,2278,Alto Padrao
921049315,20140813T000000,3.0,17390,Baixo Padrao
3655000070,20140805T000000,4.0,7840,Baixo Padrao
4027700812,20140529T000000,4.0,10002,Baixo Padrao
3992700335,20140707T000000,2.0,4440,Baixo Padrao
2767603505,20140507T000000,3.0,1249,Baixo Padrao
